"employess","random_salaries","salary_adjust","salary_2018","got_raise"
"Employee 78",40313.0193101242,9177.13938048109,49490.1586906053,TRUE
"Employee 79",49742.1997529455,3975.09672446176,53717.2964774072,TRUE
"Employee 80",42005.0541544333,-1850.36933864467,40154.6848157886,FALSE
"Employee 81",45051.3922097161,5185.66882703453,50237.0610367507,TRUE
"Employee 82",40973.0022167787,-4959.12097278051,36013.8812439982,FALSE
"Employee 83",44846.0179031827,3852.74511296302,48698.7630161457,TRUE
"Employee 84",48759.1319973581,3441.32653786801,52200.4585352261,TRUE
"Employee 85",47055.4971625097,3199.90855641663,50255.4057189263,TRUE
"Employee 86",40861.1841639504,1038.09403371997,41899.2781976704,TRUE
"Employee 87",45536.988703534,3195.13111957349,48732.1198231075,TRUE
"Employee 88",41867.2708026133,3174.04025350697,45041.3110561203,TRUE
"Employee 89",49455.9377478436,3260.38237079047,52716.320118634,TRUE
"Employee 90",44569.7567937896,830.423403531313,45400.1801973209,TRUE
"Employee 91",42049.0304590203,-4151.83480945416,37897.1956495661,FALSE
"Employee 92",40828.4650952555,8382.93723529205,49211.4023305476,TRUE
"Employee 93",42861.4528174512,-4640.48373396508,38220.9690834861,FALSE
"Employee 94",48866.9316028245,-2180.09386910126,46686.8377337232,FALSE
"Employee 95",44570.2748792246,4087.93026930653,48658.2051485311,TRUE
"Employee 96",42373.8243454136,-60.190336080268,42313.6340093333,FALSE
"Employee 97",49920.9184292704,-3507.21232243814,46413.7061068323,FALSE
"Employee 98",46155.9470067732,-212.957132607698,45942.9898741655,FALSE
"Employee 99",45707.7702577226,4859.1210169252,50566.8912746478,TRUE
"Employee 100",41604.9259738065,-2398.46681011841,39206.4591636881,FALSE
